GUXOR	-37.37500	-53.00000	AORRA-UL211F
HORNO	-56.47667	-67.26667	T100-UT100
IBDOG	-38.94944	-68.02889	IAC NEU
ILKOR	-46.43083	-70.44611	Z123-T658
ILKUL	-31.39056	-63.63194	STAR IAC SID - CBA
ILMEN	-53.68861	-67.42167	IAC GRA
ILMEV	-27.17583	-65.16917	STAR TUC
ILMIS	-24.68000	-53.05750	STAR IGU
ILMOG	-31.43500	-63.95917	STAR-CBA
ILMOS	-37.40361	-59.35250	IAC DIL
ILNAK	-30.98139	-64.21361	STAR IAC - CBA
ILNEL	-42.85333	-65.30778	IAC DRY
ILNOV	-25.71333	-54.53056	SID IGU
ILNOX	-43.65472	-65.79806	SID DRY-SID TRE
ILPAL	-42.81778	-65.14500	SID TRE
ILPAR	-25.69944	-65.09250	UT675-W3-UT677-SID TUC-STAR JUJ SAL TMA TUC-TMA SAL
ILPES	-27.23528	-58.55139	IAC CRR-STAR CRR
ILPIK	-49.90667	-68.70861	W63
ILPOT	-42.37944	-64.64694	T693-UT693-STAR TRE-TMA TRE
ILRAM	-41.26194	-70.83778	IAC BAR-STAR BAR
ILRED	-37.16583	-57.39333	STAR MDP
ILSAS	-26.25444	-61.84639	Z118
ILSEN	-33.48944	-66.29083	IAC UIS-STAR UIS
ILSOK	-32.82556	-64.29278	IAC TRC
ILSUR	-31.03889	-69.69278	UL322-UL416
ILTAV	-26.14861	-64.44250	Z132-TMA TUC
ILTIP	-52.22167	-68.90056	STAR GAL
ILTOK	-24.97139	-65.51139	SID SAL
ILTOS	-39.44917	-68.11056	T105-STAR NEU-SID NEU-TMA NEU
ILTUH	-33.05139	-68.79611	IAC DOZ
ILVUB	-40.89556	-62.87611	IAC VIE
IMBAK	-30.93361	-58.78306	A428-Z110-UM418-UL793
IMBER	-24.62333	-63.25778	UM789-UL417
IMBOD	-34.78361	-58.75056	IAC EZE
IMBOL	-27.74889	-64.93167	W5-UW5-UN525-STAR TUC-SID TUC-TMA TUC
IMDAD	-33.09861	-60.72056	IAC ROS
IRASU	-35.38722	-61.74361	UZ113-UW15-UW68-UW73-W68-W73
IRATI	-32.12222	-65.18778	W23
IRATU	-27.83278	-56.22167	N785-TMA POS
IRAVU	-50.76806	-68.75528	W18-UT109-UZ117-STAR GAL-SID GAL-TMA GAL
IREKA	-29.55472	-60.82583	W14-UW14
IREMO	-39.86972	-61.91472	UP664-UT694
IRETI	-31.13833	-64.21250	IAC CBA-STAR CBA
IREXA	-34.83139	-63.98944	UT700-UM424
IRINU	-42.71583	-64.80889	IAC DRY
IRIRO	-58.35167	-53.00000	AORRA
IROKA	-33.21889	-64.41667	IAC TRC
IROLA	-42.98361	-69.75167	W39-W40-UW39-UW40
ISAXO	-50.26250	-71.76389	IAC ECA-SID ECA
ISEGA	-35.08833	-68.36861	W37-TMA SRA
ISELU	-34.70194	-65.40250	UM424-UZ114
ISEXU	-45.47556	-67.38750	STAR CRV-SID CRV
ISIPO	-33.01111	-66.01722	W23-UW23-UT685-Z104-UZ125-SID UIS-STAR UIS-TMA UIS
ISKES	-44.86028	-67.48889	T105-UT105-SID CRV-TMA CRV
ISKIT	-31.38778	-64.55389	SID CBA
ISKUK	-28.59528	-62.72083	UM529
ISLAK	-39.97222	-70.89222	IAC CHP
ISLOB	-24.08583	-61.95806	UN775
ISMIL	-38.33778	-66.66639	UT655-UZ109-Z109-T655-SID CHP
ISMOS	-43.06306	-65.74694	SID TRE
ISODA	-37.41861	-59.14417	IAC DIL
ISOPO	-31.31167	-61.39389	UT672-T672-UL404-TMA PAR
ISORO	-35.97500	-69.70806	W44-STAR MLG-TMA MLG
ISOSO	-51.61611	-69.46528	IAC GAL
ISTER	-35.69194	-57.62528	W27-W59
ISUBA	-25.89083	-54.32611	IAC IGU-STAR IGU
ISUSA	-31.63917	-67.84111	W66-STAR JUA-TMA JUA
ISVOR	-38.84389	-62.04806	IAC BCA
ITADO	-28.72639	-59.50889	W20-TMA RTA
ITELA	-28.97444	-65.39083	UZ102-Z102-STAR CAT-TMA CAT
IVREG	-34.43028	-68.44833	IAC SRA
IVREK	-37.88417	-57.67167	IAC MDP
IVROR	-42.74111	-64.69167	STAR TRE
IVSOB	-25.43056	-53.81556	SID IGU
JOALI	-25.84972	-54.20333	IAC IGU-SID IGU-STAR IGU
KABAK	-33.31611	-67.05083	W10-W9-STAR UIS
KABES	-49.00000	-58.66750	UT103
KABIS	-34.50611	-58.51083	IAC AER
KABIT	-45.74861	-67.18972	IAC CRV
KADAT	-23.39167	-67.13333	UM789
KADEB	-50.71806	-68.99889	W63-UP664-STAR GAL-SID GAL-TMA GAL
KAGEN	-62.00056	-59.66778	W56-UW56-Z133-UZ133
KAKAN	-29.06139	-66.37056	W3-UW3-UM799-Z119-SID CAT-STAR CAT-TMA LAR-TMA CAT
KAKIN	-40.16639	-40.00000	UL211F
KAKOG	-43.30306	-65.60500	STAR TRE-IAC TRE
KALIM	-36.30278	-58.74667	W18-TMA DIL
KALOM	-25.18750	-58.16028	UM789-M789
KAMAD	-43.46639	-64.31750	UT109
KAMIL	-25.58722	-53.76611	SID IGU-STAR IGU
KAMOV	-43.76500	-65.54833	SID DRY TRE-STAR TRE
KAMUR	-37.15000	-71.14722	R683
KAMUV	-32.90972	-67.70333	W64-UT670-SID DOZ-TMA DOZ
KETIS	-40.23306	-29.99944	UL211F
KEXAK	-26.02083	-54.38611	STAR IGU
KEXEV	-33.12444	-68.79722	IAC DOZ STAR DOZ
KEXOP	-54.50000	-68.10972	W42-UW42-Z130-UZ130-SID USU-TMA USU-TMA GRA
KEXOS	-27.54444	-58.77722	IAC CRR
KEXUS	-33.15833	-64.34611	IAC TRC
KIBAR	-50.59111	-71.43306	G550-W52-SID ECA-TMA ECA
KIBOS	-24.66278	-65.31861	SID SAL
KIBUN	-31.53750	-67.83556	W24-TMA JUA
KIDAM	-31.43444	-63.71667	STAR CBA
KIGIR	-41.27806	-63.38056	W18-SID VIE-STAR TRE-TMA VIE
KIKAV	-36.84389	-64.33889	IAC OSA
KIKIN	-38.10083	-64.47833	T654-T661-UT654-UT700
KIKIP	-33.28556	-61.12389	UW24-UT705
KIKUG	-42.97833	-65.49306	SID TRE
KILAV	-26.85222	-53.69056	UM532
