AYLE	Lele Airstrip	Leli	PG	S		1600	-5.2192	151.3938
AYLG	Keglsugl Airport	Denglagu Mission	PG	S	KEG	8400	-5.8328	145.0972
AYLH	Klauhau Airstrip	Klauhau	PG	S		130	-4.1305	142.2495
AYLI	Kibuli Airstrip	Kibuli	PG	S	KII	54	-9.0065	142.6981
AYLJ	Lamogai Airstrip	Maravo	PG	S		493	-5.819	149.3053
AYLL	Linga Linga Airport	Linga Linga	PG	S	LGN	17	-5.5319	149.7342
AYLN	Langimar Airport		PG	S	LNM	5127	-7.2231	146.2271
AYLO	Lowai Airport	Lowai	PG	S	LWI	2900	-6.3344	146.6458
AYLP	Leron Plains Airport	Leron Plains	PG	S	LPN	680	-6.3917	146.3434
AYLQ	Lagoon Airstrip	Lagoon	PG	S		100	-8.8186	143.1317
AYLS	Lese Airport	Lese	PG	S	LNG	40	-8.2799	146.2765
AYLT	Lengbati Airport		PG	S	LNC	5750	-6.3846	147.3686
AYLU	Lumi Airport	Lumi	PG	S	LMI	1750	-3.4768	142.0413
AYLX	Long Island Airport	Long Island	PG	S	LSJ	116	-5.3604	147.0177
AYLY	Myola Airstrip	Myola	PG	S		6735	-9.1516	147.7623
AYLZ	Slai Airstrip	Slai	PG	S		77	-4.0322	143.1831
AYMA	Manari Airport	Manari	PG	S	MRM	2630	-9.1908	147.6219
AYMB	Morobe Airport	Morobe	PG	S	OBM	8	-7.74	147.59
AYMC	Menyamya Airport	Menyamya	PG	S	MYX	3880	-7.2117	146.0194
AYMD	Madang Airport	Madang	PG	M	MAG	20	-5.2071	145.789
AYMF	Maimafu Airstrip	Runakuma	PG	S		5213	-6.5032	145.0327
AYMG	Magleri Airstrip	Magleri	PG	S		100	-4.0521	141.9863
AYMH	Mount Hagen Kagamuga Airport	Mount Hagen	PG	M	HGU	5388	-5.8282	144.2994
AYMI	Mindik Airport	Mindik	PG	S	MXK	4200	-6.4717	147.4411
AYMJ	Makini Airport	Makini	PG	S	MPG	2530	-6.5322	147.6512
AYMK	Mok Airport	Mok	PG	S		1050	-5.7302	149.0566
AYML	Mougulu Airport	Mougulu	PG	S	GUV	825	-6.2809	142.4208
AYMN	Mendi Airport	Mendi	PG	M	MDU	5680	-6.1477	143.657
AYMO	Momote Airport	Manus Island	PG	M	MAS	12	-2.0619	147.424
AYMP	Malalaua Airport	Malalaua	PG	S	MLQ	20	-8.0714	146.1555
AYMQ	Malam Airport	Malam	PG	S	MQO	126	-8.7092	142.6497
AYMR	Moro Airport	Moro	PG	S	MXH	2740	-6.3633	143.238
AYMS	Misima Island Airport	Misima Island	PG	S	MIS	26	-10.6892	152.838
AYMU	Muluma Airstrip		PG	S		2000	-6.4265	142.7675
AYMV	Malekolon Airport	Babase Island	PG	S	MKN	5	-4.0234	153.6573
AYMW	Marawaka Airport	Marawaka	PG	S	MWG	6050	-6.9736	145.8849
AYMX	Mamusi Airstrip	Mamusi	PG	S		1020	-5.1969	144.1918
AYMY	Smok Airstrip	Smok	PG	S		729	-3.3158	141.2461
AYMZ	Mapua(Mabua) Airport	Tatau Island	PG	S	MPU	40	-2.8114	151.9911
AYNA	Nankina Airport	Gwarawon	PG	S	NKN	5800	-5.837	146.4533
AYNB	Kanabea Airport	Kanabea	PG	S	KEX	4288	-7.5389	145.905
AYNC	Nadunumu Airport	Nadunumu	PG	S	NDN	5100	-9.1436	147.6842
AYND	Aua Island Airport	Aua Island	PG	S	AUI	4	-1.4606	143.0647
AYNE	Negarbo(Negabo) Airport	Negarbo	PG	S	GBF	4500	-6.5678	144.7031
AYNF	Nagri Airport	Nagri	PG	S		150	-4.0916	142.5929
AYNG	Manguna Airport	Manguna	PG	S	MFO	187	-5.5778	151.7923
AYNH	Nahu Airstrip	Gumbarami	PG	S		6520	-5.8427	146.1126
AYNI	Nuguria Airstrip	Nuguria Island	PG	S	NUG	30	-3.4075	154.7383
AYNJ	Namudi Airport	Namudi	PG	S	NDI	1044	-9.4738	148.3294
AYNM	Kasonombe Airport	Kasonombe	PG	S	KSB	5800	-6.3819	146.9859
AYNN	Kandep Airport	Kandep	PG	S	KDP	7710	-5.8406	143.5072
AYNO	Nomane Airport	Namane	PG	S	NMN	6032	-6.3218	145.0707
AYNP	Momonup Airstrip	Momonup	PG	S		72	-4.5043	144.2315
AYNS	Bunsil Airport	Bunsil - Umboi Island	PG	S	BXZ	201	-5.7243	147.8667
AYNT	Kantobo Airstrip	Kantobo	PG	S		1385	-6.7227	143.5636
AYNU	Nuku Airport	Nuku	PG	S	UKU	870	-3.6768	142.4849
AYNX	Namatanai Airport	Namatanai	PG	S	ATN	150	-3.6695	152.438
AYNY	Nambaiyufa Airport	Nambaiyufa	PG	S	NBA	5550	-6.2412	145.2424
AYNZ	Nadzab Tomodachi International Airport	Lae	PG	L	LAE	239	-6.568	146.7265
AYOA	Kwomtari Airstrip	Kwomtari	PG	S		366	-3.598	141.3614
AYOB	Obo Airport	Obo	PG	S	OBX	29	-7.5906	141.3243
AYOD	Obura Airstrip	Obura	PG	S		5600	-6.5507	145.9728
AYOE	Konge Airport	Konge	PG	S	KGB	5900	-6.2239	147.2152
AYOF	Okao Airport	Okao	PG	S	OKV	450	-5.5567	141.0328
AYOG	Ogeranang Airport		PG	S	OGE	5850	-6.4668	147.3642
AYOH	Okisai Airstrip	Okisai	PG	S		310	-4.7065	141.9006
AYOJ	Oksapmin Airport	Oksapmin	PG	S	OKP	5140	-5.2261	142.2259
AYOK	Komako Airport	Komako	PG	S	HOC	3960	-7.3984	145.8827
AYOL	Kol Airport	Kol	PG	S	KQL	5350	-5.7312	144.846
AYOM	Omora Airport	Omora	PG	S	OSE	2540	-7.8278	147.0806
AYOO	Komo-Manda Airport	Komo	PG	S	KOM	5057	-6.0682	142.8598
AYOP	Kosipe Airport	Kosipe Mission	PG	S	KSP	6350	-8.4507	147.2092
AYOQ	Komaio Airport	Komaio	PG	S	KCJ	28	-7.2714	143.5952
AYOS	Kosimbi Airstrip	Kosimbi Mission	PG	S		149	-3.9522	143.1767
AYOU	Kombaku Airstrip	Kombaku	PG	S		5400	-5.3817	144.6355
AYOV	Olsobip Airport	Olsobip	PG	S	OLQ	1500	-5.3897	141.5153
AYOW	Koroba Airport	Koroba	PG	S	KDE	5638	-5.6952	142.7441
AYOX	Moi Airstrip	Moi	PG	S		240	-4.1615	141.2478
AYOY	Open Bay Airport	Maitanakunai	PG	S	OPB	33	-4.7947	151.6962
AYOZ	Kora Airstrip	Kora	PG	S		5745	-6.4304	145.0931
AYPA	Somokopa Airstrip	Somokopa	PG	S		489	-7.0838	142.514
AYPB	Paiela Airport	Paiela	PG	S	PLE	6100	-5.3724	142.9758
AYPC	Pangoa Airport	Pangoa	PG	S	PGB	60	-7.0226	141.5605
AYPD	Pindiu Airport	Pindiu	PG	S	PDI	2995	-6.4451	147.5158
AYPE	April River Airport	April River	PG	S	APR	220	-4.6767	142.5401
AYPG	Pangia Airport	Pangia	PG	S	PGN	5340	-6.386	144.1084
AYPI	Kapi Airstrip	Kapi	PG	S		3408	-6.371	144.6839
AYPJ	Pimaga Airport	Pimaga	PG	S	PMP	2745	-6.4992	143.5103
AYPO	Mapoda Airport	Mapoda	PG	S	MPF	45	-7.979	143.1694
AYPQ	Pumani Airport	Pumani	PG	S	PMN	427	-9.7469	149.4766
AYPS	Maposi Airstrip	Maposi	PG	S		104	-4.546	142.2211
AYPU	Walluanda Airport	Puri	PG	S	WLU	6050	-6.4752	143.9872
AYPW	Panakawa Airport		PG	S		42	-7.6721	143.1247
AYPY	Port Moresby Jacksons International Airport	Port Moresby	PG	L	POM	146	-9.4434	147.22
AYQA	Karawari Airstrip	Amboin	PG	S	KRJ	70	-4.5967	143.5225
AYQB	Simbari Airstrip	Simbari	PG	S		3560	-6.9623	145.6448
AYQL	Tumolbil Airport	Tumolbil	PG	S	TLP	3590	-4.7748	141.0133
AYQM	Simogu Airstrip	Simogu	PG	S		4990	-6.8008	145.7134
AYQO	Sopu Airport	Sopu	PG	S	SPH	6580	-8.3038	147.1659
AYQQ	Ononge Airport	Onange Mission	PG	S	ONB	5800	-8.6744	147.2624
AYQR	Sorimi Airstrip	Sorimi	PG	S		450	-4.3239	141.3756
AYQS	Sialum Airport	Sialum	PG	S	SXA	170	-6.0908	147.5955
AYQU	Tsumba Airstrip	Tsumba Mission	PG	S		89	-4.6581	144.6082
AYQV	Sinow Airstrip	Sinow	PG	S		183	-3.9925	141.5537
AYQW	Sumwari Airstrip	Sumwari	PG	S		465	-4.7508	142.3686
AYRA	Kira Airport	Kira	PG	S	KIQ	1700	-8.0651	147.332
AYRD	Rano Airstrip	Maingi	PG	S		28	-5.9594	151.1717
AYRE	Raba Raba Airport	Rabaraba	PG	S	RBP	170	-9.9711	149.8322
AYRG	Rumginae Airport		PG	S	RMN	160	-5.8972	141.2717
AYRI	Karimui Airport	Karimui	PG	S	KMR	3640	-6.4921	144.823
AYRJ	Mariama	Mariama	PG	S			-4.6124	143.247
AYRK	Kairuku Airport	Yule Island	PG	S	RKU	45	-8.817	146.5244
AYRL	Maralina Airstrip	Maralina	PG	S		431	-6.9015	146.3698
AYRM	Maramuni Airport	Maramuni	PG	S	MWI	5160	-5.13	143.4829
AYRN	Norambi Airstrip.	Norambi	PG	S		5100	-6.9125	145.6731
AYRO	Kakoro(Koroko) Airstrip	Kakoro	PG	S	KOR	230	-7.8347	146.5335
AYRR	Tiri Airstrip	Tiri	PG	S		4545	-6.6815	144.1842
AYRT	Kirinbit Airstrip	Kirinbit	PG	S		60	-4.2839	143.1512
AYRV	May River Airstrip	May River	PG	S	MRH	107	-4.3615	141.785
AYSA	Suabi Airport		PG	S	SBE	465	-6.1044	142.2783
AYSB	Sirebi Airstrip	Sirebi	PG	S		115	-7.2196	144.2352
AYSD	Saidor Airport	Saidor	PG	S	SDI	83	-5.6271	146.4628
AYSE	Simberi Airport	Simberi Island	PG	S	NIS	10	-2.6622	151.9978
AYSF	Safia Airport	Safia	PG	S	SFU	430	-9.5945	148.6393
AYSG	Sila Airport	Sila Mission	PG	S	SIL	2230	-9.0736	148.3893
AYSH	Sabah Airport	Sabah	PG	S	SBV	10	-5.5765	155.0489
AYSI	Seltamin Airstrip	Seltamin	PG	S		4285	-5.4122	141.8252
AYSJ	Simbai Airport	Simbai	PG	S	SIM	5804	-5.2786	144.5447
AYSK	Sengapi Airstrip	Sengapi	PG	S	SGK	6242	-5.1258	144.3236
AYSL	Sehulea Airport	Sehulea	PG	S	SXH	30	-9.9645	151.1619
AYSM	Samberigi Airstrip	Samberigi Mission	PG	S		3830	-6.7193	143.9338
AYSO	Selbang Airport	Selbang	PG	S	SBC	5130	-5.315	141.752
AYSP	Sapmanga Airport	Sapmanga	PG	S	SMH	2912	-6.0753	146.8111
